number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
19,20,13,7,2024-03-28 16:49:26,2024-03-28 16:51:11.923590,10.8,8.8,0.6,9.5,1
19,20,13,7,2024-03-28 17:09:36,2024-03-28 17:16:17.561062,10.4,8.0,0.3,12.2,1
19,20,13,7,2024-03-28 18:10:08,2024-03-28 18:20:15.201666,10.0,8.2,1.1,8.1,0
19,20,13,7,2024-03-28 19:10:40,2024-03-28 19:12:03.624062,10.1,8.4,0.5,8.4,0
19,20,13,7,2024-03-28 20:11:11,2024-03-28 20:17:44.695988,9.7,8.8,0.3,2.8,0
19,20,13,7,2024-03-28 21:11:42,2024-03-28 21:17:22.771941,9.7,7.7,0.0,8.6,0
