number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
5,16,4,12,2024-03-28 16:50:00,2024-03-28 16:51:11.923611,11.4,9.6,1.2,7.9,1
5,16,5,11,2024-03-28 17:10:13,2024-03-28 17:16:17.561102,10.5,8.1,0.3,12.3,1
5,16,8,8,2024-03-28 18:10:48,2024-03-28 18:20:15.201688,9.8,8.2,1.4,8.1,0
5,16,10,6,2024-03-28 19:11:24,2024-03-28 19:12:03.624084,9.6,8.5,0.5,4.8,0
5,16,10,6,2024-03-28 20:11:55,2024-03-28 20:17:44.696010,9.8,8.9,0.2,2.8,0
5,16,11,5,2024-03-28 21:12:26,2024-03-28 21:17:22.771978,9.7,7.4,0.0,10.8,0
