number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
13,20,16,4,2024-03-28 16:48:58,2024-03-28 16:51:11.923560,10.9,8.9,0.6,9.5,1
13,20,15,5,2024-03-28 17:09:08,2024-03-28 17:16:17.561004,10.4,8.1,0.3,12.2,1
13,20,10,10,2024-03-28 18:17:33,2024-03-28 18:20:15.201635,10.0,8.3,1.1,8.1,0
13,20,11,9,2024-03-28 19:10:13,2024-03-28 19:12:03.624032,10.2,8.4,0.5,8.4,0
13,20,11,9,2024-03-28 20:10:46,2024-03-28 20:17:44.695956,9.8,8.8,0.3,2.8,0
