number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
22,20,12,8,2024-03-28 16:48:56,2024-03-28 16:51:11.923584,11.3,8.8,0.6,12.1,1
22,20,12,8,2024-03-28 17:09:06,2024-03-28 17:16:17.561051,10.3,7.6,0.4,14.4,1
22,20,12,8,2024-03-28 18:09:40,2024-03-28 18:20:15.201660,9.9,7.8,1.7,10.5,0
22,20,12,8,2024-03-28 19:10:17,2024-03-28 19:12:03.624056,9.5,7.8,0.5,8.1,0
22,20,13,7,2024-03-28 20:10:51,2024-03-28 20:17:44.695982,9.6,8.6,0.4,3.1,0
