number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
28,20,9,11,2024-03-28 16:43:43,2024-03-28 16:51:11.923599,11.6,9.7,1.2,7.9,1
28,20,9,11,2024-03-28 17:13:59,2024-03-28 17:16:17.561079,10.6,8.3,0.3,12.3,1
28,20,7,13,2024-03-28 18:14:33,2024-03-28 18:20:15.201676,9.9,8.3,1.4,8.1,0
28,20,5,15,2024-03-28 19:04:59,2024-03-28 19:12:03.624072,9.8,8.6,0.5,4.8,0
28,20,5,15,2024-03-28 20:15:35,2024-03-28 20:17:44.695998,10.0,9.1,0.2,2.8,0
28,20,4,16,2024-03-28 21:16:06,2024-03-28 21:17:22.771957,9.9,7.5,0.0,10.8,0
