number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
10,20,10,10,2024-03-28 16:46:28,2024-03-28 16:51:11.923554,11.5,9.6,1.2,7.9,1
10,20,11,9,2024-03-28 17:13:10,2024-03-28 17:16:17.560990,10.6,8.2,0.3,12.3,1
10,20,8,12,2024-03-28 18:13:43,2024-03-28 18:20:15.201628,9.9,8.2,1.4,8.1,0
10,20,3,17,2024-03-28 19:06:53,2024-03-28 19:12:03.624025,9.7,8.6,0.5,4.8,0
10,20,6,14,2024-03-28 20:14:57,2024-03-28 20:17:44.695949,9.9,9.0,0.2,2.8,0
10,20,11,9,2024-03-28 21:16:03,2024-03-28 21:17:22.771874,9.8,7.5,0.0,10.8,0
