number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
4,20,9,11,2024-03-28 16:40:46,2024-03-28 16:51:11.923566,11.5,9.6,1.2,7.9,1
4,20,12,8,2024-03-28 17:12:14,2024-03-28 17:16:17.561016,10.6,8.2,0.3,12.3,1
4,20,11,9,2024-03-28 18:19:26,2024-03-28 18:20:15.201641,9.9,8.2,1.4,8.1,0
4,20,12,8,2024-03-28 19:02:13,2024-03-28 19:12:03.624038,9.7,8.6,0.5,4.8,0
4,20,12,8,2024-03-28 20:12:48,2024-03-28 20:17:44.695963,9.9,9.0,0.2,2.8,0
