number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
12,20,4,16,2024-03-28 16:49:18,2024-03-28 16:51:11.923614,10.8,8.9,0.6,9.5,1
12,20,14,6,2024-03-28 17:09:38,2024-03-28 17:16:17.561108,10.4,8.0,0.3,12.2,1
12,20,16,4,2024-03-28 18:10:16,2024-03-28 18:20:15.201691,10.0,8.3,1.1,8.1,0
12,20,16,4,2024-03-28 19:10:49,2024-03-28 19:12:03.624087,10.1,8.4,0.5,8.4,0
12,20,14,6,2024-03-28 20:11:23,2024-03-28 20:17:44.696014,9.7,8.8,0.3,2.8,0
12,20,12,8,2024-03-28 21:11:56,2024-03-28 21:17:22.771983,9.7,7.8,0.0,8.6,0
