number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
7,20,20,0,2024-03-28 16:48:27,2024-03-28 16:51:11.923605,10.8,8.8,0.6,9.5,1
7,20,20,0,2024-03-28 17:15:11,2024-03-28 17:16:17.561091,10.4,8.0,0.3,12.2,1
7,20,11,9,2024-03-28 18:15:46,2024-03-28 18:20:15.201682,10.0,8.2,1.1,8.1,0
7,20,11,9,2024-03-28 19:06:12,2024-03-28 19:12:03.624078,10.1,8.4,0.5,8.4,0
7,20,11,9,2024-03-28 20:16:49,2024-03-28 20:17:44.696004,9.7,8.8,0.3,2.8,0
7,20,12,8,2024-03-28 21:07:16,2024-03-28 21:17:22.771968,9.7,7.7,0.0,8.6,0
