number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
8,20,17,3,2024-03-28 16:49:59,2024-03-28 16:51:11.923602,10.8,8.8,0.6,9.5,1
8,20,19,1,2024-03-28 17:15:06,2024-03-28 17:16:17.561085,10.3,8.0,0.3,12.2,1
8,20,14,6,2024-03-28 18:15:17,2024-03-28 18:20:15.201679,9.9,8.2,1.1,8.1,0
8,20,13,7,2024-03-28 19:11:22,2024-03-28 19:12:03.624075,10.1,8.4,0.5,8.4,0
8,20,14,6,2024-03-28 20:14:12,2024-03-28 20:17:44.696001,9.7,8.7,0.3,2.8,0
8,20,14,6,2024-03-28 21:12:28,2024-03-28 21:17:22.771962,9.6,7.7,0.0,8.6,0
