number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
3,20,10,10,2024-03-28 16:49:12,2024-03-28 16:51:11.923575,11.5,9.6,1.2,7.9,1
3,20,11,9,2024-03-28 17:09:26,2024-03-28 17:16:17.561033,10.5,8.1,0.3,12.3,1
3,20,10,10,2024-03-28 18:09:59,2024-03-28 18:20:15.201650,9.8,8.2,1.4,8.1,0
3,20,10,10,2024-03-28 19:10:29,2024-03-28 19:12:03.624047,9.7,8.5,0.5,4.8,0
3,20,10,10,2024-03-28 20:10:59,2024-03-28 20:17:44.695972,9.9,9.0,0.2,2.8,0
3,20,11,9,2024-03-28 21:11:31,2024-03-28 21:17:22.771913,9.8,7.4,0.0,10.8,0
