number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
15,20,10,10,2024-03-28 16:50:18,2024-03-28 16:51:11.923620,11.3,8.8,0.6,12.1,1
15,20,9,11,2024-03-28 17:12:27,2024-03-28 17:16:17.561120,10.3,7.6,0.4,14.4,1
15,20,11,9,2024-03-28 18:11:03,2024-03-28 18:20:15.201697,9.9,7.8,1.7,10.5,0
15,20,12,8,2024-03-28 19:01:31,2024-03-28 19:12:03.624093,9.5,7.8,0.5,8.1,0
15,20,12,8,2024-03-28 20:12:09,2024-03-28 20:17:44.696020,9.6,8.7,0.4,3.1,0
15,20,12,8,2024-03-28 21:12:41,2024-03-28 21:17:22.771994,9.1,7.8,0.0,5.0,0
