number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
17,20,6,13,2024-03-28 16:50:15,2024-03-28 16:51:11.923596,12.2,10.9,1.3,4.4,1
17,20,8,11,2024-03-28 17:09:44,2024-03-28 17:16:17.561074,11.3,9.4,0.3,9.3,1
17,20,9,10,2024-03-28 18:16:10,2024-03-28 18:20:15.201672,11.0,9.8,1.5,5.1,0
17,20,10,9,2024-03-28 19:10:57,2024-03-28 19:12:03.624069,9.7,8.2,0.5,7.1,0
17,20,10,9,2024-03-28 20:11:28,2024-03-28 20:17:44.695995,9.5,8.5,0.3,3.4,0
