number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
16,20,9,11,2024-03-28 16:49:11,2024-03-28 16:51:11.923572,11.5,9.6,1.2,7.9,1
16,20,6,14,2024-03-28 17:11:16,2024-03-28 17:16:17.561027,10.6,8.2,0.3,12.3,1
16,20,13,7,2024-03-28 18:17:47,2024-03-28 18:20:15.201647,9.9,8.2,1.4,8.1,0
16,20,14,6,2024-03-28 19:10:44,2024-03-28 19:12:03.624044,9.7,8.6,0.5,4.8,0
16,20,12,8,2024-03-28 20:13:15,2024-03-28 20:17:44.695969,9.9,9.0,0.2,2.8,0
16,20,11,9,2024-03-28 21:15:41,2024-03-28 21:17:22.771908,9.8,7.5,0.0,10.8,0
