number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
24,20,9,11,2024-03-28 16:44:12,2024-03-28 16:51:11.923549,11.2,8.7,0.6,12.1,1
24,20,8,12,2024-03-28 17:14:30,2024-03-28 17:16:17.560981,10.3,7.6,0.4,14.4,1
24,20,7,13,2024-03-28 18:15:03,2024-03-28 18:20:15.201623,9.8,7.8,1.7,10.5,0
24,20,5,15,2024-03-28 19:05:32,2024-03-28 19:12:03.624021,9.4,7.7,0.5,8.1,0
24,20,4,16,2024-03-28 20:16:11,2024-03-28 20:17:44.695945,9.6,8.6,0.4,3.1,0
